,brand,model,year,Energy,gear_box,Trim,price
10398,PEUGEOT,2008,2020,Essence,Automatique,1.2 PureTech 130ch S&S Allure EAT8,27990
10399,HONDA,Civic,2020,Essence,Manuelle,1.5 i-VTEC 182ch Sport Plus 5p,25690
10400,RENAULT,Arkana,2021,EssenceM,Automatique,1.3 TCe 140ch FAP RS Line EDC -21B,31980
10401,MITSUBISHI,Eclipse Cross,2022,HybrideR,Automatique,PHEV Twin Motor Intense Style 4WD,44090
10402,RENAULT,Captur,2021,HybrideR,Automatique,1.6 E-Tech Plug-in 160ch Intens,27990
10403,PEUGEOT,308,2020,Diesel,Automatique,1.5 BlueHDi 130ch S&S GT Line EAT8 7cv,26199
10404,LAND-ROVER,Range Rover Evoque,2016,Diesel,Automatique,2.0 TD4 150 SE Dynamic BVA Mark IV,31990
10405,DS,Ds 3 Crossback,2021,Essence,Automatique,PureTech 130ch Performance Line + Automatique,29990
10406,RENAULT,Grand Kangoo,2018,Diesel,Manuelle,1.5 dCi 110ch energy Zen Euro6 7 places,16900
10407,AUDI,A4 Avant,2018,Diesel,Automatique,2.0 TDI 150ch S line S tronic 7,28990
10408,KIA,Ceed,2018,Essence,Manuelle,1.0 T-GDi 120ch ISG Active,15499
10409,DS,Ds 3 Crossback,2021,Electrique,Automatique,E-Tense Grand Chic 4cv,35690
10410,RENAULT,Trafic,2018,Diesel,Manuelle,L2H1 1200 1.6 dCi 95ch Confort Euro6,20790
10411,RENAULT,Grand Scenic,2020,Diesel,Automatique,1.7 Blue dCi 120ch Intens EDC,30990
10412,PEUGEOT,3008,2021,HybrideR,Automatique,HYBRID4 300ch GT Pack e-EAT8,44980
10413,RENAULT,Zoe,2019,Electrique,Automatique,Business charge normale R90 MY19,12490
10414,CITROEN,C4,2021,Diesel,Automatique,BlueHDi 130ch S&S Feel EAT8,24990
10415,AUDI,Q3 Sportback,2020,Diesel,Automatique,35 TDI 150ch S tronic 7,44490
10416,CITROEN,Nemo,2015,Diesel,Manuelle,1.3 HDi 75 FAP Business,9990
10417,MINI,Countryman,2019,Essence,Manuelle,Cooper S 192ch Business Design Euro6d-T,31900
10418,PEUGEOT,208,2019,Diesel,Manuelle,1.5 BlueHDi 100ch E6.c Active Business S&S BVM5 86g 5p,12850
10419,MERCEDES,Classe C,2018,Diesel,Automatique,220 d 194ch AMG Line 9G-Tronic,33990
10420,RENAULT,Arkana,2021,EssenceM,Automatique,1.3 TCe 140ch FAP Business EDC,27590
10421,VOLKSWAGEN,Golf,2021,Essence,Manuelle,1.5 TSI ACT OPF 130ch Active,28490
10422,SEAT,Ateca,2021,Essence,Manuelle,1.0 TSI 110ch Start&Stop Style,24490
10423,AUDI,Q3 Sportback,2021,Diesel,Automatique,35 TDI 150ch S line S tronic 7,48900
10424,DACIA,Dokker,2019,Diesel,Manuelle,1.5 Blue dCi 95ch Stepway,16990
10425,RENAULT,Megane,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Business,16990
10426,NISSAN,Qashqai,2021,EssenceM,Automatique,1.3 Mild Hybrid 158ch N-Connecta Xtronic,32980
10427,RENAULT,Clio,2018,Diesel,Manuelle,1.5 dCi 90ch energy Business 82g 5p,13380
10428,CITROEN,C3,2021,Diesel,Manuelle,1.5 BlueHDi 100ch S&S C-Series E6.d,16980
10429,RENAULT,Scenic,2017,Essence,Manuelle,1.2 TCe 130ch energy Intens,17990
10430,MINI,Mini,2019,Essence,Manuelle,Cooper S 192ch 139g,27890
10431,VOLKSWAGEN,T-Roc,2022,Essence,Automatique,1.5 TSI EVO 150ch Style DSG7,35990
10432,BMW,X3,2020,Diesel,Automatique,xDrive20dA 190ch M Sport Euro6d-T,48780
10433,SEAT,Leon,2019,Essence,Automatique,1.5 TSI 150ch ACT FR DSG7,25490
10434,DACIA,Sandero,2017,Essence,Manuelle,0.9 TCe 90ch Stepway,10980
10435,RENAULT,Clio,2020,Diesel,Manuelle,1.5 Blue dCi 85ch Zen,13990
10436,FORD,Puma,2021,EssenceM,Manuelle,1.0 EcoBoost 125ch mHEV ST-Line X 6cv,25499
10437,PEUGEOT,3008,2021,HybrideR,Automatique,HYBRID 225ch GT e-EAT8 10cv,49990
10438,PEUGEOT,Partner,2017,Diesel,Manuelle,Standard 1.6 BlueHDi 75ch Pro,13590
10439,PEUGEOT,5008,2019,Essence,Manuelle,1.2 PureTech 130ch E6.c GT Line S&S,26900
10440,RENAULT,Megane,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Intens - 20,17960
10441,CITROEN,C3 Aircross,2022,Diesel,Automatique,BlueHDi 120ch S&S C-Series EAT6,24990
10442,RENAULT,Twingo,2021,Essence,Manuelle,1.0 SCe 65ch Zen - 21,12290
10443,DACIA,Duster,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Prestige 4x2 - 20,20990
10444,CITROEN,C4,2021,Electrique,Automatique,Moteur électrique 136ch (100 kW) Shine Pack Automatique,33999
10445,SMART,Fortwo Coupe,2021,Electrique,Automatique,Electrique 82ch prime,20590
10446,OPEL,Crossland X,2018,Diesel,Manuelle,1.6 D 99ch ECOTEC Business Edition,15990
10447,RENAULT,Arkana,2021,Hybride,Automatique,1.6 E-Tech 145ch Intens -21B,29990
10448,OPEL,Mokka,2022,Essence,Manuelle,1.2 Turbo 130ch Ultimate,30990
10449,DS,Ds 7 Crossback,2021,Hybride,Automatique,E-TENSE 4x4 300ch Grand Chic,56869
10450,VOLKSWAGEN,Arteon,2019,Essence,Automatique,2.0 TSI 190ch R-line Exclusive DSG7,34599
10451,CITROEN,Spacetourer,2021,Electrique,Automatique,M 100% ëlectric 100 kW (136 ch) Feel Batterie 50 kWh,44599
10452,PEUGEOT,2008,2022,Electrique,Automatique,e-2008 136ch GT Pack,42199
10453,SMART,Fortwo Cabriolet,2019,Essence,Manuelle,90ch passion E6c,13490
10454,RENAULT,Captur,2019,Essence,Manuelle,1.3 TCe 130ch FAP Intens,17790
10455,DS,Ds 7 Crossback,2021,Diesel,Automatique,BlueHDi 130ch Performance Line Automatique,37999
10456,BMW,X2,2019,Essence,Automatique,sDrive18iA 140ch Lounge DKG7 Euro6d-T 129g,31699
10457,PEUGEOT,308,2022,HybrideR,Automatique,PHEV 225ch GT e-EAT8,44600
10458,RENAULT,Megane,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Business,18990
10459,RENAULT,Clio,2019,Essence,Automatique,1.3 TCe 130ch FAP RS Line EDC,20990
10460,FORD,Kuga,2019,EssenceB,Manuelle,1.5 Flexifuel-E85 150ch Stop&Start Vignale 170g 4x2 Euro6.2,30378
10461,RENAULT,Scenic,2019,Diesel,Automatique,1.7 Blue dCi 120ch Intens EDC,19990
10462,KIA,Sportage,2020,DieselM,Automatique,1.6 CRDi 136ch MHEV Active 4x2 DCT7,26490
10463,PEUGEOT,2008,2021,Diesel,Manuelle,1.5 BlueHDi 110ch S&S GT 5cv,28890
10464,PORSCHE,911 Cabriolet,2016,Essence,Automatique,3.0 420ch S PDK,124900
10465,TOYOTA,C-Hr,2019,Hybride,Automatique,122h Dynamic 2WD E-CVT,23990
10466,NISSAN,Micra,2018,Essence,Manuelle,1.0 IG 71ch Visia 2018,10890
10467,PEUGEOT,208,2020,Diesel,Manuelle,1.5 BlueHDi 100ch S&S Active,17290
10468,AUDI,A3 Sportback,2022,EssenceM,Automatique,30 TFSI 110ch S line S tronic 7,38900
10469,PEUGEOT,508,2021,HybrideR,Automatique,HYBRID 225ch GT Pack e-EAT8,37390
10470,PEUGEOT,108,2022,Essence,Manuelle,VTi 72 Style S&S 4cv 5p,14458
10471,FIAT,Scudo,2022,Diesel,Automatique,Compact 2.0 MultiJet 145ch Pro lounge BVA,34480
10472,RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Limited -21N,16990
10473,PEUGEOT,2008,2017,Essence,Manuelle,1.2 PureTech 110ch GT Line S&S,15490
10474,CITROEN,Berlingo Van,2020,Essence,Manuelle,M 1000kg PureTech 110 S&S Club,23990
10475,LAND-ROVER,Discovery Sport,2015,Diesel,Manuelle,2.0 TD4 180ch AWD HSE Mark I,24990
10476,FORD,Ranger,2017,Diesel,Manuelle,2.2 TDCi 160ch Double Cabine Limited,28990
10477,CITROEN,C4,2021,Diesel,Automatique,BlueHDi 130ch S&S Feel Pack EAT8,23799
10478,LAND-ROVER,Discovery Sport,2017,Diesel,Automatique,2.0 TD4 180ch AWD HSE BVA Mark II,37900
10479,RENAULT,Captur,2018,Diesel,Manuelle,1.5 dCi 110ch energy Initiale Paris,15989
10480,SEAT,Leon,2013,Essence,Automatique,1.8 TSI 180ch FR Start&Stop DSG,15990
10481,OPEL,Corsa,2018,Essence,Manuelle,1.4 90ch Edition Start/Stop 5p,12290
10482,PORSCHE,Taycan,2020,Electrique,Automatique,571ch 4S avec batterie performance plus MY21,139900
10483,PEUGEOT,208,2022,Diesel,Manuelle,1.5 BlueHDi 100ch S&S GT Pack,27990
10484,JAGUAR,E-Pace,2019,Essence,Automatique,2.0P 300ch R-Dynamic HSE AWD BVA9,46500
10485,TOYOTA,Yaris,2021,Essence,Manuelle,70 VVT-i France Business 5p,15450
10486,CITROEN,Berlingo,2018,Diesel,Automatique,BlueHDi 100ch Feel S&S ETG6,16490
10487,OPEL,Adam,2018,Essence,Manuelle,1.4 Twinport 87ch Unlimited Start/Stop,13690
10488,PEUGEOT,208,2019,Diesel,Manuelle,1.5 BlueHDi 100ch E6.c Active Business S&S BVM5 86g 5p,12490
10489,RENAULT,Megane Estate,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Business - 20,17990
10490,MINI,Countryman,2019,Essence,Manuelle,Cooper 136ch 128g,25800
10491,PEUGEOT,2008,2020,Diesel,Manuelle,1.5 BlueHDi 100ch S&S Allure,25900
10492,OPEL,Mokka,2015,Essence,Manuelle,1.4 Turbo 140ch Color Edition Start&Stop 4x2,13999
10493,VOLKSWAGEN,Golf Sportsvan,2014,Diesel,Automatique,2.0 TDI 150ch BlueMotion Technology FAP Carat DSG6,16990
10494,DACIA,Logan Mcv,2014,Diesel,Manuelle,1.5 dCi 90ch eco² Lauréate,9790
10495,VOLKSWAGEN,T-Roc,2021,Essence,Automatique,1.5 TSI EVO 150ch Lounge DSG7 S&S,32690
10496,NISSAN,Micra,2019,Essence,Manuelle,1.0 IG 71ch Visia Pack 2019 Euro6c,11900
10497,LEXUS,Rx,2020,Hybride,Automatique,450h 4WD Executive MC19,61890
10498,NISSAN,Qashqai,2021,EssenceM,Manuelle,1.3 Mild Hybrid 140ch N-Connecta,31980
10499,RENAULT,Captur,2021,Essence,Manuelle,1.0 TCe 90ch Zen -21,17990
10500,PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 100ch S&S Allure Business 118g,23980
10501,DACIA,Logan,2018,Essence,Manuelle,1.0 SCe 75ch -18,8990
10502,BMW,Serie 3 Touring,2021,Essence,Automatique,318iA 156ch Edition Sport 8cv,36990
10503,PEUGEOT,2008,2017,Essence,Automatique,1.2 PureTech 110ch GT Line S&S EAT6,14999
10504,JEEP,Renegade,2020,Diesel,Manuelle,1.6 MultiJet 120ch Longitude MY20,19580
10505,OPEL,Mokka X,2019,Diesel,Manuelle,1.6 D 136 Innovation 120 ans 4x2 Euro6d-T,14990
10506,MINI,Cabrio,2017,Essence,Manuelle,Cooper S 192ch Red Hot Chili,27900
10507,CITROEN,Ds 4,2012,Diesel,Manuelle,2.0 HDi160 FAP Sport Chic,9980
10508,CITROEN,C3 Aircross,2019,Essence,Manuelle,PureTech 110ch S&S Feel E6.d,17880
10509,MERCEDES,Glc,2016,Diesel,Automatique,250 d 204ch Fascination 4Matic 9G-Tronic,38989
10510,RENAULT,Arkana,2021,Hybride,Automatique,1.6 E-Tech 145ch RS Line -21B,32990
10511,DS,Ds 4,2016,Diesel,Manuelle,BlueHDi 120ch Sport Chic S&S,15490
10512,CITROEN,Jumpy,2022,Diesel,Manuelle,M 2.0 BlueHDi 145ch S&S Club,33480
10513,PEUGEOT,208,2020,Electrique,Automatique,e-208 136ch Allure,24957
10514,NISSAN,Qashqai,2020,Diesel,Manuelle,1.5 dCi 115ch Tekna 2019 Euro6-EVAP,22990
10515,AUDI,Q3,2021,Diesel,Manuelle,35 TDI 150ch Design,39900
10516,BMW,Serie 1,2019,Essence,Manuelle,118i 140ch Business Design 118g,31900
10517,RENAULT,Megane,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Intens - 20,19999
10518,RENAULT,Captur,2019,Diesel,Manuelle,1.5 dCi 90ch energy Business Euro6c,16990
10519,MERCEDES,Classe B,2019,Diesel,Automatique,180d 116ch AMG Line 7G-DCT,29463
10520,PEUGEOT,3008,2022,Hybride,Automatique,HYBRID 225ch GT e-EAT8,46999
10521,TOYOTA,Yaris,2019,Essence,Manuelle,110 VVT-i Design Y20 5p MY19,14890
10522,MINI,Mini,2019,Diesel,Automatique,Cooper D 116ch Heddon Street BVA7,24590
10523,AUDI,A5 Cabriolet,2020,Diesel,Automatique,40 TDI 190ch Avus quattro S tronic 7,47980
10524,AUDI,A3 Sportback,2020,Diesel,Automatique,35 TDI 150ch Design S tronic 7,35990
10525,PEUGEOT,2008,2019,Diesel,Manuelle,1.5 BlueHDi 100ch E6.c GT Line S&S BVM5,15490
10526,BMW,Serie 1,2021,Diesel,Automatique,118dA 150ch M Sport 8cv,33980
10527,RENAULT,Trafic,2017,Diesel,Manuelle,L1H1 1000 1.6 dCi 120ch Grand Confort Euro6,19290
10528,BMW,Serie 3 Touring,2017,Diesel,Automatique,318dA 150ch M Sport,24980
10529,FORD,Focus,2019,Essence,Manuelle,1.0 EcoBoost 125ch Titanium,18459
10530,RENAULT,Kadjar,2019,Diesel,Automatique,1.5 Blue dCi 115ch Business EDC,18790
10531,BMW,Serie 5 Touring,2022,DieselM,Automatique,530dA xDrive 286ch M Sport Steptronic,81290
10532,RENAULT,Megane,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Business -21B,17990
10533,RENAULT,Espace,2021,Diesel,Automatique,2.0 Blue dCi 190ch Initiale Paris EDC,45990
10534,CITROEN,C4,2021,Diesel,Manuelle,BlueHDi 110ch S&S Live,20980
10535,BMW,X3,2019,Diesel,Automatique,xDrive30dA 265ch Business Design,44499
10536,KIA,Ceed,2021,Essence,Manuelle,1.0 T-GDI 100ch Active,16990
10537,DS,Ds 4 Crossback,2017,Diesel,Manuelle,BlueHDi 120 Executive S&S,18990
10538,RENAULT,Kadjar,2020,Diesel,Automatique,1.5 Blue dCi 115ch Intens EDC,23990
10539,MINI,Countryman,2018,Essence,Manuelle,One 102ch Exquisite,22990
10540,PEUGEOT,3008,2022,Diesel,Automatique,1.5 BlueHDi 130ch S&S GT EAT8,39990
10541,NISSAN,Qashqai,2020,Essence,Manuelle,1.3 DIG-T 140ch N-Connecta Euro6d-T,19467
10542,PEUGEOT,3008,2020,Diesel,Automatique,1.5 BlueHDi 130ch S&S Style EAT8,24480
10543,MERCEDES,Glc Coupe,2022,Diesel,Automatique,220 d 194ch Business Line 4Matic 9G-Tronic,68990
10544,LEXUS,Nx,2018,Hybride,Automatique,300h 4WD Executive,43990
10545,FORD,Fiesta,2017,Essence,Manuelle,1.0 EcoBoost 100ch Stop&Start Edition 5p,12490
10546,PEUGEOT,2008,2022,Diesel,Manuelle,1.5 BlueHDi 110ch S&S Roadtrip,28390
10547,RENAULT,Twingo,2021,Essence,Manuelle,1.0 SCe 65ch Zen E6D-Full,11990
10548,RENAULT,Clio,2020,Diesel,Manuelle,1.5 Blue dCi 85ch Business,16990
10549,PEUGEOT,308,2019,Diesel,Manuelle,1.5 BlueHDi 100ch E6.c S&S Active Business,14280
10550,RENAULT,Clio,2019,Diesel,Manuelle,1.5 dCi 90ch energy Business 5p Euro6c,14490
10551,FIAT,Panda,2019,Essence,Manuelle,1.2 8v 69ch S&S City Cross Waze Euro6D,10190
10552,CITROEN,C3,2018,Diesel,Manuelle,BlueHDi 100ch Feel S&S E6.d-TEMP,13980
10553,RENAULT,Megane,2022,Electrique,Automatique,E-Tech Electric EV60 220ch Iconic super charge - Bonus Eco France Deduit,37990
10554,FORD,Ecosport,2019,Essence,Manuelle,1.0 EcoBoost 125ch ST-Line Euro6.2,18990
10555,AUDI,Q3 Sportback,2022,Diesel,Automatique,35 TDI 150ch Advanced S tronic 7,47990
10556,RENAULT,Kadjar,2021,Essence,Manuelle,1.3 TCe 140ch FAP Intens - 21,23990
10557,HYUNDAI,Tucson,2020,DieselM,Automatique,1.6 CRDI 136ch hybrid 48V N Line Executive DCT-7 Euro6d-Evap,27999
10558,PEUGEOT,308 Sw,2017,Essence,Automatique,1.2 PureTech 130ch Allure S&S EAT6,13990
10559,RENAULT,Megane Estate,2017,Diesel,Automatique,1.5 dCi 110ch energy Business EDC,11990
10560,PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 100ch S&S Active Business,17490
10561,RENAULT,Clio,2020,Diesel,Manuelle,1.5 Blue dCi 85ch Intens,18990
10562,PEUGEOT,2008,2015,Diesel,Automatique,1.6 e-HDi92 FAP Allure ETG6,13490
10563,VOLKSWAGEN,T-Roc,2022,Essence,Automatique,1.5 TSI EVO 150ch Lounge DSG7 S&S,30990
10564,CITROEN,C3,2021,Essence,Manuelle,1.2 PureTech 83ch S&S Feel Pack 122g,16099
10565,CITROEN,C4 Picasso,2017,Diesel,Automatique,BlueHDi 120ch Feel S&S EAT6,16690
10566,FORD,Fiesta,2018,Diesel,Manuelle,1.5 TDCi 85ch Stop&Start Trend 5p Euro6.2,11990
10567,RENAULT,Scenic,2019,Diesel,Automatique,1.7 Blue dCi 120ch Business EDC,18490
10568,TOYOTA,Corolla,2021,Hybride,Automatique,122h Design MY21,24980
10569,VOLKSWAGEN,T-Roc Cabriolet,2020,Essence,Manuelle,1.0 TSI 115 Start/Stop BVM6 Style,29900
10570,RENAULT,Captur,2021,EssenceM,Automatique,1.3 TCe 140ch FAP Intens EDC -21,27790
10571,FIAT,Scudo,2022,Diesel,Manuelle,Long 2.0 MultiJet 145ch Cabine Approfondie Fixe Pro Lounge,38392
10572,MERCEDES,Classe C Break,2021,DieselM,Automatique,220 d 200ch AMG Line 9G-Tronic,42990
10573,PEUGEOT,508,2021,HybrideR,Automatique,HYBRID4 360ch e-EAT8 PEUGEOT SPORT ENGINEERED,59990
10574,HYUNDAI,I30,2021,EssenceM,Manuelle,HYUNDAI I30 HAYON 110CV COMFORT,17480
10575,AUDI,Q3,2020,EssenceM,Automatique,35 TFSI 150ch S line S tronic 7,46900
10576,OPEL,Vivaro,2022,Diesel,Manuelle,M 2.0 BlueHDi 145ch S&S Cabine Approfondie Fixe Pack Business,40989
10577,PEUGEOT,2008,2021,Essence,Manuelle,1.2 PureTech 100ch S&S Style,22990
10578,CITROEN,C3,2020,Diesel,Manuelle,1.5 BlueHDi 100ch S&S Feel,12699
10579,CITROEN,C4 Cactus,2019,Essence,Manuelle,PureTech 110ch S&S Shine E6.d IMPORT,17400
10580,RENAULT,Megane,2021,Essence,Automatique,1.3 TCe 160ch FAP RS Line EDC,27480
10581,TOYOTA,Aygo,2019,Essence,Automatique,1.0 VVT-i 72ch x-play x-shift 5p,13890
10582,DACIA,Duster,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Prestige 4x2 E6U,21990
10583,LEXUS,Ux,2020,Hybride,Automatique,250h 2WD Luxe MY20,32450
10584,OPEL,Corsa,2021,Diesel,Manuelle,1.5 D 100ch Edition,17590
10585,KIA,Stonic,2019,Essence,Manuelle,1.0 T-GDi 100ch ISG Active Euro6d-T,15990
10586,RENAULT,Scenic,2017,Diesel,Automatique,1.5 dCi 110ch energy Business EDC,16890
10587,CITROEN,Berlingo,2017,Diesel,Manuelle,M 1.6 BlueHDi 75 Business,14982
10588,MINI,Countryman,2018,Essence,Manuelle,One 102ch Euro6d-T,21990
10589,RENAULT,Clio,2020,Diesel,Manuelle,1.5 Blue dCi 85ch Business,15990
10590,RENAULT,Koleos,2022,Diesel,Automatique,2.0 Blue dCi 185ch Initiale Paris 4x4 X-Tronic,46900
10591,MERCEDES,Glc,2021,HybrideR,Automatique,300 e 211+122ch AMG Line 4Matic 9G-Tronic Euro6d-T-EVAP-ISC,63990
10592,DACIA,Sandero,2012,Diesel,Manuelle,1.5 dCi 90ch FAP eco² Black Line 2,7999
10593,RENAULT,Kadjar,2019,Diesel,Automatique,1.5 Blue dCi 115ch Intens EDC,22990
10594,BMW,Serie 2 Active Tourer,2017,Diesel,Automatique,218dA 150ch M Sport,22890
10595,RENAULT,Kadjar,2019,Diesel,Manuelle,1.5 Blue dCi 115ch Intens 112g,21990
10596,PEUGEOT,308 Sw,2019,Diesel,Automatique,1.5 BlueHDi 130ch S&S GT Line EAT8,23990
10597,ABARTH,500,2017,Essence,Manuelle,1.4 Turbo T-Jet 145ch 595 MY17,17990
10598,AUDI,Q5,2018,HybrideR,Automatique,55 TFSI e 367ch S line quattro S tronic 7 Euro6d-T 45g,59980
10599,RENAULT,Megane Estate,2020,Diesel,Manuelle,1.5 Blue dCi 95ch Life,17490
10600,PEUGEOT,208,2019,Diesel,Manuelle,1.5 BlueHDi 100ch E6.c Active BVM5 5p,13493
10601,CITROEN,C3,2022,Essence,Manuelle,1.2 PureTech 110ch S&S C-Series 121g,19690
10602,RENAULT,Clio,2019,Diesel,Manuelle,1.5 Blue dCi 115ch Zen,14990
10603,DACIA,Duster,2021,Gpl,Manuelle,1.0 ECO-G 100ch Prestige 4x2,20990
10604,PEUGEOT,2008,2022,Essence,Automatique,1.2 PureTech 130ch S&S Style EAT8,27490
10605,TOYOTA,Rav4,2022,Hybride,Automatique,Hybride 222ch Dynamic AWD-i MY21,40390
10606,RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Intens -21,17990
10607,RENAULT,Megane,2018,Diesel,Automatique,1.6 dCi 165ch energy Intens EDC,19480
10608,DS,Ds 7 Crossback,2021,HybrideR,Automatique,E-TENSE 4x4 300ch Grand Chic,51690
10609,PEUGEOT,2008,2021,Essence,Manuelle,1.2 PureTech 130ch S&S Allure,23990
10610,PEUGEOT,Boxer,2022,Diesel,Manuelle,335 L2H2 2.2 BlueHDi S&S 140ch Premium,36990
10611,PEUGEOT,308 Sw,2017,Diesel,Automatique,1.6 BlueHDi 120ch Style S&S EAT6,17399
10612,OPEL,Vivaro,2021,Diesel,Manuelle,L2 Standard 2.0 D 150ch Pack Clim,28499
10613,DACIA,Duster,2018,Diesel,Manuelle,1.5 Blue dCi 115ch Prestige 4x2,17990
10614,PEUGEOT,3008,2019,Diesel,Automatique,1.5 BlueHDi 130ch E6.c GT Line S&S EAT8,25990
10615,PEUGEOT,2008,2018,Diesel,Manuelle,1.5 BlueHDi 100ch S&S GT Line,15990
10616,PEUGEOT,508 Sw,2018,Diesel,Automatique,1.6 BlueHDi 120ch Allure S&S EAT6,16999
10617,RENAULT,Megane,2019,Essence,Manuelle,1.3 TCe 160ch FAP GT-Line,24980
10618,PEUGEOT,3008,2022,Hybride,Automatique,HYBRID4 300ch GT e-EAT8,49990
10619,FORD,Kuga,2021,Essence,Manuelle,1.5 EcoBoost 150ch ST-Line X,29990
10620,MERCEDES,Cla Shooting Brake,2022,Essence,Automatique,200 163ch Progressive Line 7G-DCT 9cv,40990
10621,PEUGEOT,3008,2021,HybrideR,Automatique,HYBRID4 300ch GT e-EAT8,42980
10622,DS,Ds 5,2018,Diesel,Automatique,BlueHDi 120ch So Chic S&S EAT6,17698
10623,PEUGEOT,3008,2021,Hybride,Automatique,HYBRID 225ch Allure Pack e-EAT8,37980
10624,PEUGEOT,208,2021,Electrique,Automatique,e-208 136ch Style,26490
10625,RENAULT,Clio,2019,Diesel,Manuelle,1.5 dCi 90ch energy Intens 5p,13990
10626,NISSAN,Qashqai,2019,Essence,Automatique,1.3 DIG-T 160ch N-Connecta DCT Euro6d-T,23990
10627,PEUGEOT,2008,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S Allure Pack EAT8,28990
10628,MERCEDES,Cla Shooting Brake,2019,Diesel,Automatique,200 d 150ch AMG Line 8G-DCT,34490
10629,FIAT,Punto,2013,Essence,Manuelle,1.2 8v 69ch Lounge 3p,9990
10630,RENAULT,Zoe,2019,Electrique,Automatique,City charge normale R90,14899
10631,PEUGEOT,308,2019,Essence,Manuelle,1.2 PureTech 110ch E6.3 S&S Style,18790
10632,SEAT,Leon,2019,Essence,Automatique,2.0 TSI 290ch Cupra DSG7,30990
10633,KIA,Ceed,2021,Essence,Manuelle,1.0 T-GDI 100ch Active,17992
10634,SKODA,Kamiq,2021,Essence,Automatique,1.0 TSI Evo 110ch Style DSG7,26980
10635,AUDI,Q3 Sportback,2022,Diesel,Automatique,35 TDI 150ch Business line S tronic 7,50990
10636,VOLKSWAGEN,Id.5,2022,Electrique,Automatique,77 kWh - 204ch Pro Performance,55999
10637,PEUGEOT,2008,2022,Essence,Automatique,1.2 PureTech 130ch S&S Style EAT8,28120
10638,PEUGEOT,308 Sw,2016,Diesel,Automatique,2.0 BlueHDi 180ch GT S&S EAT6,18480
10639,BMW,Serie 5,2019,Diesel,Automatique,520dA 190ch Sport Steptronic Euro6d-T,33472
10640,RENAULT,Captur,2014,Diesel,Manuelle,1.5 dCi 90ch Stop&Start energy Business Eco²,9990
10641,OPEL,Karl,2019,Essence,Manuelle,1.0 73ch Edition 120 ans,10999
10642,DACIA,Duster,2019,Essence,Manuelle,1.3 TCe 150ch FAP Prestige 135g 4x2 - 19,21299
10643,BMW,X1,2017,Diesel,Manuelle,sDrive18d 150ch xLine,24900
10644,MINI,Mini,2017,Diesel,Manuelle,One D 95ch Shoreditch,16480
10645,PEUGEOT,308,2019,Essence,Automatique,1.2 PureTech 130ch E6.3 S&S GT Line EAT8,23490
10646,OPEL,Mokka,2021,Essence,Automatique,1.2 Turbo 130ch Ultimate BVA8,27500
10647,AUDI,Tt,2015,Essence,Manuelle,2.0 TFSI 230ch S line,30490
10648,PEUGEOT,308,2020,Diesel,Automatique,1.5 BlueHDi 130ch S&S Tech Edition EAT8 7cv,25990
10649,BMW,Serie 3,2020,DieselM,Automatique,320dA MH 190ch M Sport,42290
10650,AUDI,S3 Sportback,2019,Essence,Automatique,50 TFSI 300ch quattro S tronic 7 Euro6d-T,43990
10651,PEUGEOT,508,2018,Diesel,Automatique,BlueHDi 130ch S&S Allure EAT8,21489
10652,PEUGEOT,2008,2020,Essence,Manuelle,1.2 PureTech 130ch S&S Allure 7cv,25888
10653,CITROEN,C3,2021,Diesel,Manuelle,1.5 BlueHDi 100ch S&S Feel Pack E6.d,16480
10654,MERCEDES,Classe A,2019,Diesel,Automatique,180 d 116ch Progressive Line 7G-DCT,26990
10655,PEUGEOT,308,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S GT Pack EAT8,26990
10656,CITROEN,Jumpy,2021,Electrique,Automatique,espacetourer M Moteur Electrique 136ch (50kW) Shine Automatique,46980
10657,RENAULT,Megane,2021,Essence,Automatique,1.3 TCe 140ch FAP RS Line EDC -21B,25999
10658,PEUGEOT,3008,2022,Hybride,Automatique,HYBRID4 300ch GT Pack e-EAT8,55890
10659,MERCEDES,Gle,2015,Diesel,Automatique,350 d 258ch 4Matic 9G-Tronic,39990
10660,PEUGEOT,308 Sw,2022,HybrideR,Automatique,PHEV 180ch Allure Pack e-EAT8,39900
10661,PEUGEOT,208,2021,Essence,Automatique,1.2 PureTech 100ch S&S Allure EAT8,22980
10662,RENAULT,Koleos,2021,Essence,Automatique,1.3 TCe 160ch Zen EDC,26780
10663,PEUGEOT,108,2021,Essence,Manuelle,VTi 72 Allure S&S 4cv 5p,13799
10664,DACIA,Duster,2022,Essence,Manuelle,1.3 TCe 130ch FAP Confort 4x2,21990
