brand,model,year,energy,gear_box,trim,price
PEUGEOT,308 Sw,2019,Diesel,Manuelle,1.5 BlueHDi 100ch E6.c S&S Active Business,14 890 €
VOLKSWAGEN,Golf Plus,2013,Essence,Manuelle,1.4 TSI 122ch Confortline,13 290 €
MERCEDES,Classe A,2020,Diesel,Automatique,200 d 150ch AMG Line 8G-DCT,29 900 €
DACIA,Lodgy,2016,Diesel,Manuelle,1.5 dCi 110ch Silver Line Euro6 7 places,12 990 €
RENAULT,Twingo,2018,Essence,Manuelle,1.0 SCe 70ch Life Euro6c,10 490 €
CITROEN,C5 Aircross,2021,HybrideR,Automatique,Hybrid 225ch Shine e-EAT8,36 847 €
PEUGEOT,2008,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S Allure bvm6,26 800 €
JEEP,Renegade,2019,Essence,Manuelle,1.0 GSE T3 120ch Limited,20 990 €
RENAULT,Kangoo,2019,Diesel,,Blue dCi 95 Trend,17 500 €
PEUGEOT,3008,2018,Diesel,Manuelle,2.0 BlueHDi 150ch Allure Business S&S,20 980 €
NISSAN,Juke,2020,Essence,Manuelle,1.0 DIG-T 117ch N-Connecta,19 490 €
PEUGEOT,3008,2018,Diesel,Automatique,1.5 BlueHDi 130ch E6.c GT Line S&S EAT8,24 990 €
RENAULT,Captur,2021,EssenceM,Manuelle,1.3 TCe 140ch FAP Business - 21,21 890 €
RENAULT,Captur,2014,Diesel,Manuelle,1.5 dCi 90ch Stop&Start energy Intens eco²,9 990 €
FORD,Fiesta,2019,Essence,Manuelle,1.1 70ch Business Nav 5p Euro6.2,15 390 €
MERCEDES,Classe A,2019,Diesel,Automatique,200 d 150ch Progressive Line 8G-DCT,26 490 €
JAGUAR,I-Pace,2020,Electrique,Automatique,EV400 SE AWD 13cv,64 990 €
DACIA,Duster,2018,Diesel,Manuelle,1.5 dCi 110ch Essentiel 4X2,15 490 €
VOLKSWAGEN,Tiguan,2019,Diesel,Automatique,2.0 TDI 150ch Confortline DSG7 Euro6d-T,31 290 €
RENAULT,Arkana,2022,Hybride,Automatique,1.6 E-Tech 145ch Business,29 490 €
PEUGEOT,308,2021,HybrideR,Automatique,PHEV 225ch GT Pack e-EAT8,43 699 €
PEUGEOT,3008,2019,Diesel,Automatique,2.0 BlueHDi 180ch S&S GT EAT8,27 990 €
AUDI,A3 Sportback,2019,Essence,Automatique,1.5 TFSI 150ch Design luxe S tronic 7,29 990 €
PEUGEOT,2008,2022,Electrique,Automatique,e-2008 136ch Allure,39 200 €
PEUGEOT,2008,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S Allure Pack EAT8,29 190 €
PEUGEOT,Boxer,2018,Diesel,Manuelle,330 L2H2 2.0 BlueHDi 130 Premium Pack,27 999 €
PEUGEOT,2008,2018,Essence,Automatique,1.2 PureTech 110ch GT Line S&S EAT6,17 790 €
DACIA,Duster,2018,Diesel,,dCi 110 4x4 Confort,16 290 €
VOLKSWAGEN,Polo,2022,Essence,Manuelle,1.0 TSI 95ch Life,22 690 €
KIA,Sportage,2021,DieselM,Automatique,1.6 CRDi 136ch MHEV Black Edition Business 4x2 DCT7,29 483 €
CITROEN,C3,2019,Essence,Manuelle,PureTech 110ch Shine S&S E6.d,13 680 €
RENAULT,Captur,2021,Essence,Manuelle,1.0 TCe 90ch Intens -21,21 990 €
CITROEN,C3 Aircross,2022,Diesel,Automatique,BlueHDi 120ch S&S C-Series EAT6,24 979 €
HYUNDAI,Tucson,2020,DieselM,Automatique,1.6 CRDI 136ch hybrid 48V Executive DCT-7 Euro6d-Evap,26 980 €
DACIA,Sandero,2018,Essence,Manuelle,0.9 TCe 90ch Stepway Euro6c,12 490 €
NISSAN,Qashqai,2019,Diesel,Automatique,1.5 dCi 115ch N-Connecta DCT 2019,22 490 €
PEUGEOT,3008,2020,HybrideR,Automatique,HYBRID4 300ch GT e-EAT8 11cv,38 290 €
OPEL,Corsa,2017,Essence,Manuelle,1.4 90ch Edition 5p,11 990 €
VOLKSWAGEN,T-Roc,2022,Essence,Automatique,1.5 TSI EVO 150ch Life DSG7,35 990 €
PEUGEOT,2008,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S Allure Pack EAT8,29 979 €
CITROEN,C5 Aircross,2019,Diesel,Automatique,BlueHDi 180ch S&S Shine EAT8,30 598 €
PEUGEOT,208,2019,Essence,Manuelle,1.2 PureTech 82ch E6.c Active Business S&S 5p,12 990 €
PEUGEOT,Rifter,2019,Diesel,Manuelle,BlueHDi 100ch Long Active,24 999 €
NISSAN,Juke,2020,Essence,Manuelle,1.0 DIG-T 114ch N-Connecta 2021,20 390 €
LEXUS,Ux,2022,Hybride,Automatique,250h 2WD Premium Edition MY21,34 900 €
CITROEN,C5 Aircross,2019,Diesel,Manuelle,BlueHDi 130ch S&S Feel,20 480 €
PEUGEOT,208,2020,Essence,Manuelle,1.2 PureTech 75ch S&S Like,16 999 €
VOLKSWAGEN,Golf,2019,Essence,Automatique,2.0 TSI 245ch GTI Performance DSG7 Euro6d-T 5p,30 980 €
DS,Ds 3 Crossback,2021,Essence,Automatique,PureTech 130ch Grand Chic Automatique 7cv,32 998 €
SMART,Fortwo Coupe,2021,Electrique,Automatique,Electrique 82ch prime,20 590 €
NISSAN,Qashqai,2019,Essence,Manuelle,1.3 DIG-T 140ch N-Connecta Euro6d-T,20 990 €
RENAULT,Kadjar,2021,Diesel,Automatique,1.5 Blue dCi 115ch Business EDC - 21,24 990 €
DODGE,Ram,2019,,,1500 5 7 V8 395CH HEMI CREW,78 900 €
MINI,Countryman,2018,Essence,Manuelle,One 102ch Euro6d-T,20 490 €
BMW,X1,2017,Diesel,Manuelle,sDrive16d 116ch xLine,22 990 €
PEUGEOT,508,2021,Diesel,Automatique,BlueHDi 130ch S&S GT EAT8,33 990 €
PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 100ch S&S GT 118g,22 780 €
RENAULT,Clio,2021,Essence,Manuelle,1.3 TCe 140ch RS Line -21N,21 990 €
BMW,Serie 5 Touring,2019,Diesel,Automatique,530dA xDrive 265ch Business Design Euro6c,39 990 €
LAND-ROVER,Range Rover Evoque,2022,EssenceB,Automatique,2.0 P 200ch Flex Fuel Edition AWD BVA Mark III,55 900 €
RENAULT,Arkana,2021,EssenceM,Automatique,1.3 TCe 140ch FAP Intens EDC -21B,31 490 €
OPEL,Mokka,2022,Essence,Manuelle,1.2 Turbo 100ch Elegance Business,27 350 €
RENAULT,Arkana,2022,EssenceM,Automatique,1.3 TCe 140ch FAP RS Line EDC -21B,31 790 €
RENAULT,Megane,2018,Essence,Automatique,1.3 TCe 140ch energy Intens EDC,17 490 €
RENAULT,Kadjar,2018,Diesel,Manuelle,1.5 dCi 110ch energy Business eco²,14 990 €
NISSAN,Juke,2011,Essence,Automatique,1.6 DIG-T 190ch Tekna All-Mode 4x4-i M-CVT,10 990 €
PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 100ch S&S Allure Business 118g,23 390 €
DS,Ds 3 Crossback,2021,Electrique,Automatique,E-Tense Performance Line + 4cv,36 980 €
FIAT,Scudo,2022,Diesel,Manuelle,Long 2.0 MultiJet 145ch Cabine Approfondie Fixe Pro Lounge,40 980 €
PEUGEOT,2008,2020,Diesel,Manuelle,1.5 BlueHDi 100ch S&S Active Business,22 999 €
SEAT,Ibiza,2022,Essence,Manuelle,1.0 EcoTSI 95ch Start/Stop Urban,18 499 €
PEUGEOT,2008,2019,Essence,Manuelle,1.2 PureTech 130ch E6.c GT Line S&S,18 790 €
PEUGEOT,2008,2022,Electrique,Automatique,e-2008 136ch GT,40 599 €
AUDI,A3 Sportback,2019,Essence,Automatique,35 TFSI 150ch CoD Design S tronic 7 Euro6d-T,24 990 €
OPEL,Astra,2021,Essence,Manuelle,1.2 Turbo 130ch Elegance Business 7cv,19 790 €
MERCEDES,Classe B,2019,Diesel,Automatique,180d 116ch Progressive Line 7G-DCT,23 980 €
PEUGEOT,308,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S GT Pack EAT8,33 990 €
FIAT,500,2017,Essence,Manuelle,1.2 8v 69ch Lounge,11 980 €
DS,Ds 3,2015,Essence,Manuelle,PureTech 110ch So Chic S&S,12 900 €
BMW,Serie 2 Gran Coupe,2022,Diesel,Automatique,218dA 150ch M Sport BVA8,43 340 €
PEUGEOT,308 Sw,2019,Diesel,Manuelle,1.5 BlueHDi 100ch E6.c S&S Active Business,16 890 €
PEUGEOT,3008,2016,Diesel,Automatique,1.6 BlueHDi 120ch Style II S&S EAT6,15 980 €
MERCEDES,Glc Coupe,2018,Essence,Automatique,250 211ch Executive 4Matic 9G-Tronic,47 990 €
PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 100ch S&S Allure 118g,19 880 €
PEUGEOT,2008,2019,Essence,Manuelle,1.2 PureTech 130ch E6.c Signature S&S,17 483 €
RENAULT,Clio,2019,Essence,Manuelle,1.0 SCe 75ch Business,14 990 €
RENAULT,Clio,2021,Essence,Automatique,1.0 TCe 90ch Zen X-Tronic -21,19 490 €
DACIA,Duster,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Prestige 108g 4x2 - 19,17 490 €
CITROEN,C3,2018,Essence,Manuelle,PureTech 82ch Graphic,12 980 €
DS,Ds 9,2021,Hybride,Automatique,Hybrid E-Tense 250ch Rivoli+,52 489 €
KIA,Xceed,2022,HybrideR,Automatique,1.6 GDi 105ch + Plug-In 60.5ch Active DCT6 MY22,32 790 €
FIAT,Ducato,2021,Diesel,Manuelle,3.0 CH2 2.3 Multijet 160ch Pack,32 480 €
PEUGEOT,208,2018,Diesel,Manuelle,1.6 BlueHDi 100ch Allure Business S&S 5p,14 990 €
AUDI,A6,2021,DieselM,Automatique,40 TDI 204ch S line S tronic 7,48 990 €
PEUGEOT,208,2018,Diesel,Manuelle,1.5 BlueHDi 100ch E6.c Active Business S&S 5p,10 290 €
VOLKSWAGEN,Golf,2018,Essence,Manuelle,1.0 TSI 115ch Connect Euro6d-T 5p,20 480 €
PEUGEOT,208,2020,Essence,Manuelle,1.2 PureTech 100ch S&S GT Line,23 490 €
BMW,X1,2018,Diesel,Automatique,sDrive20dA 190ch xLine Euro6d-T,30 299 €
RENAULT,Twingo,2019,Essence,Manuelle,0.9 TCe 95ch Le Coq Sportif,12 990 €
CITROEN,C3,2021,Diesel,Manuelle,1.5 BlueHDi 100ch S&S C-Series E6.d,17 480 €
DACIA,Duster,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Prestige 4x2 E6U,20 480 €
PEUGEOT,3008,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S Allure Pack EAT8,36 490 €
DACIA,Jogger,2022,Gpl,Manuelle,1.0 ECO-G 100ch Extreme+ 5 places,20 990 €
PEUGEOT,206+,2011,Essence,Manuelle,1.1 Access 5p,6 290 €
RENAULT,Clio,2013,Essence,Manuelle,1.2 16v 75ch Collection Alizé 5p,8 990 €
DS,Ds 3 Crossback,2021,Electrique,Automatique,E-Tense Grand Chic 4cv,35 980 €
RENAULT,Arkana,2021,Hybride,Automatique,1.6 E-Tech 145ch Zen,32 990 €
RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Business -21N,16 990 €
CITROEN,C3 Aircross,2021,Diesel,Automatique,BlueHDi 120ch S&S Shine Pack EAT6,24 890 €
BMW,X3,2017,Diesel,Manuelle,sDrive18d 150ch Executive,24 490 €
BMW,Serie 1,2022,Diesel,Automatique,118dA 150ch M Sport 8cv,39 490 €
CITROEN,C4 Picasso,2018,Diesel,Manuelle,BlueHDi 120ch Feel S&S,14 480 €
PEUGEOT,2008,2020,Essence,Manuelle,1.2 PureTech 130ch S&S Allure 7cv,25 490 €
RENAULT,Captur,2021,Essence,Manuelle,1.0 TCe 90ch Business - 21,18 990 €
MERCEDES,Glc,2019,Diesel,Automatique,220 d 194ch AMG Line 4Matic Launch Edition 9G-Tronic,48 990 €
RENAULT,Captur,2017,Diesel,Manuelle,1.5 dCi 110ch energy Intens,13 590 €
FORD,Transit Custom,2022,Diesel,Manuelle,280 L1H1 2.0 EcoBlue 105 Trend Business,34 900 €
PEUGEOT,2008,2020,Essence,Manuelle,1.2 PureTech 130ch S&S Allure,22 490 €
CITROEN,C5 Aircross,2021,Diesel,Manuelle,BlueHDi 130ch S&S Shine E6.d,31 990 €
PEUGEOT,208,2022,Essence,Manuelle,1.2 PureTech 75ch S&S Style,19 490 €
CITROEN,C4,2021,Essence,Manuelle,PureTech 130ch S&S Feel Pack,25 975 €
BMW,X4,2016,Diesel,Automatique,xDrive30dA 258ch M Sport,34 999 €
RENAULT,Twingo,2020,Essence,Manuelle,1.0 SCe 75ch Zen - 20,11 990 €
PEUGEOT,3008,2021,Hybride,Automatique,HYBRID 225ch Roadtrip e-EAT8,34 490 €
PEUGEOT,2008,2022,Diesel,Manuelle,1.5 BlueHDi 110ch S&S Allure Pack,26 700 €
FORD,Ecosport,2019,Essence,Manuelle,1.0 EcoBoost 125ch Titanium Business Euro6.2,16 989 €
PEUGEOT,208,2020,Diesel,Manuelle,1.5 BlueHDi 100ch S&S Active,19 900 €
CITROEN,C3 Aircross,2019,Essence,Manuelle,PureTech 110ch S&S Feel E6.d,16 852 €
CITROEN,C3 Aircross,2019,Diesel,Automatique,BlueHDi 120ch S&S Shine Business EAT6 E6.d-TEMP,17 480 €
PEUGEOT,308 Sw,2019,Diesel,Manuelle,1.5 BlueHDi 100ch E6.c S&S Active Business,12 490 €
BMW,Serie 3 Touring,2018,Diesel,Automatique,330dA 258ch Sport Ultimate Euro6c,35 890 €
MINI,Countryman,2019,Diesel,Automatique,Cooper D 150ch BVA,24 900 €
DACIA,Sandero,2019,Gpl,Manuelle,0.9 ECO-G 90ch Stepway,13 590 €
PEUGEOT,3008,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S Allure Pack EAT8,32 690 €
NISSAN,Qashqai,2019,Diesel,Automatique,1.5 dCi 115ch N-Connecta DCT 2019,21 990 €
PEUGEOT,308,2020,Diesel,Manuelle,1.5 BlueHDi 130ch S&S Allure,20 490 €
DS,Ds 7 Crossback,2021,HybrideR,Automatique,E-TENSE 225ch Rivoli,44 990 €
AUDI,A3 Sportback,2019,Essence,Automatique,35 TFSI 150ch CoD Design luxe S tronic 7 Euro6d-T,25 300 €
PEUGEOT,2008,2020,Diesel,Manuelle,1.5 BlueHDi 100ch S&S GT Line,26 999 €
PEUGEOT,208,2020,Diesel,Manuelle,1.5 BlueHDi 100ch S&S Allure Business,21 480 €
PEUGEOT,2008,2016,Essence,Manuelle,1.2 PureTech 130ch Crossway S&S,13 990 €
NISSAN,Qashqai,2019,Diesel,Manuelle,1.5 dCi 115ch Business Edition Euro6d-T,18 490 €
PEUGEOT,2008,2020,Essence,Manuelle,1.2 PureTech 130ch S&S Allure Business,23 499 €
PEUGEOT,3008,2019,Diesel,Automatique,1.5 BlueHDi 130ch E6.c Active Business S&S EAT8,24 999 €
FORD,Puma,2020,EssenceM,Manuelle,1.0 EcoBoost 125ch mHEV ST-Line X 7cv,24 900 €
CITROEN,Berlingo,2021,Diesel,Manuelle,M BlueHDi 130ch S&S Rip Curl,29 990 €
PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 100ch S&S Active Business,17 490 €
PORSCHE,911 Coupe,2022,Essence,Automatique,3.0 480ch 4 GTS,234 900 €
RENAULT,Captur,2021,Essence,Manuelle,1.0 TCe 90ch Business,18 990 €
KIA,Sportage,2019,Diesel,Automatique,1.6 CRDi 136ch ISG Active 4x2 DCT7,22 990 €
CITROEN,Berlingo Van,2018,Diesel,Manuelle,M 1000kg BlueHDi 75 Club,12 980 €
PEUGEOT,2008,2021,Electrique,Automatique,e-2008 136ch Roadtrip,35 000 €
RENAULT,Captur,2020,HybrideR,Automatique,1.6 E-Tech Plug-in 160ch Initiale Paris,27 490 €
OPEL,Corsa,2018,Essence,Manuelle,1.4 90ch Design Edition Start/Stop 5p,11 590 €
VOLKSWAGEN,Polo,2020,Essence,Automatique,1.0 TSI 115ch Carat DSG7 Euro6d-T,21 990 €
PEUGEOT,5008,2022,Diesel,Automatique,1.5 BlueHDi 130ch S&S Allure Pack EAT8,37 480 €
RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Intens -21,17 279 €
RENAULT,Zoe,2021,Electrique,Automatique,E-Tech Business charge normale R110 Achat Intégral - 21,24 950 €
PEUGEOT,208,2022,Essence,Automatique,1.2 PureTech 130ch S&S Allure Pack EAT8,26 990 €
PEUGEOT,308,2019,Diesel,Manuelle,1.5 BlueHDi 100ch E6.c S&S Active Business,16 980 €
PORSCHE,Cayenne,2018,Essence,Automatique,4.0 550ch Turbo,117 900 €
PEUGEOT,3008,2016,Diesel,Manuelle,1.6 BlueHDi 120ch Allure S&S,14 990 €
VOLKSWAGEN,T-Cross,2022,Essence,Automatique,1.0 TSI 110ch Lounge DSG7,26 990 €
NISSAN,Qashqai,2019,Diesel,Automatique,1.5 dCi 115ch N-Connecta DCT 2019 Euro6-EVAP,22 790 €
RENAULT,Arkana,2022,EssenceM,Automatique,1.3 TCe 140ch FAP Intens EDC -21B,29 873 €
VOLKSWAGEN,T-Cross,2021,Essence,Manuelle,1.0 TSI 95ch Active,22 999 €
RENAULT,Captur,2018,Diesel,Manuelle,1.5 dCi 90ch energy Intens Euro6c,13 990 €
KIA,Picanto,2016,Essence,Manuelle,1.0 66ch ISG UEFA EURO 2016 5p,7 980 €
DACIA,Duster,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Prestige 4x4 E6U,25 490 €
RENAULT,Clio,2020,Essence,Manuelle,1.0 TCe 100ch Business - 20,16 490 €
MERCEDES,Classe C,2021,Diesel,Automatique,220 d 194ch AMG Line 9G-Tronic,41 490 €
BMW,Serie 2 Cabriolet,2017,Diesel,Manuelle,218d 150ch M Sport,26 490 €
RENAULT,Megane,2016,Essence,Manuelle,1.2 TCe 130ch energy Intens,13 990 €
PEUGEOT,5008,2020,Diesel,Automatique,2.0 BlueHDi 180ch S&S GT EAT8,36 990 €
AUDI,Rs5,2014,Essence,Automatique,4.2 V8 FSI 450ch quattro S tronic 7,36 900 €
RENAULT,Captur,2020,Essence,Manuelle,1.0 TCe 100ch Business,17 980 €
MERCEDES,Classe B,2019,Diesel,Automatique,200d 150ch AMG Line Edition 8G-DCT 7cv,32 599 €
RENAULT,Captur,2016,Diesel,Automatique,1.5 dCi 90ch Stop&Start energy Intens EDC Euro6 2016,11 990 €
TOYOTA,Yaris,2019,Hybride,Automatique,100h France Business 5p MY19,16 690 €
RENAULT,Talisman,2021,Diesel,Automatique,2.0 Blue dCi 190ch Initiale Paris EDC,39 990 €
RENAULT,Master,2018,Diesel,Manuelle,F3300 L2H2 2.3 dCi 130ch Grand Confort Euro6,23 480 €
DS,Ds 7 Crossback,2019,Essence,Automatique,PureTech 225ch Performance Line + Automatique,25 999 €
RENAULT,Trafic,2019,Diesel,Manuelle,L2H1 1300 1.6 dCi 95ch Grand Confort E6,20 990 €
RENAULT,Megane Cc,2011,Diesel,Manuelle,2.0 dCi 160ch FAP Privilège,11 990 €
RENAULT,Kangoo,2019,Diesel,Manuelle,1.5 Blue dCi 95ch Intens,18 990 €
RENAULT,Scenic,2019,Diesel,Automatique,1.7 Blue dCi 120ch Intens EDC,19 490 €
MERCEDES,Classe A,2021,Diesel,Automatique,180d 116ch AMG Line 8G-DCT,34 580 €
RENAULT,Kadjar,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Intens 135g,23 990 €
DS,Ds 3 Crossback,2021,Electrique,Automatique,E-Tense Ines de la Fressange Paris,35 990 €
PEUGEOT,308,2016,Diesel,Manuelle,1.6 BlueHDi 120ch Allure S&S 5p,13 990 €
FORD,Mondeo Sw,2020,Hybride,Automatique,2.0 HYBRID 187ch Titanium Business BVA 7cv,26 490 €
RENAULT,Captur,2018,Diesel,Manuelle,1.5 dCi 90ch energy Zen Euro6c,15 490 €
RENAULT,Twingo,2017,Essence,Manuelle,0.9 TCe 90ch energy Limited 2017,10 499 €
VOLKSWAGEN,T-Cross,2021,Essence,Automatique,1.0 TSI 110ch R-Line DSG7,26 890 €
FORD,Mustang Mach-E,2022,Electrique,Automatique,Extended Range 99kWh 351ch AWD 9cv,73 990 €
PEUGEOT,3008,2016,Diesel,Manuelle,1.6 BlueHDi 120ch Active Business S&S,13 490 €
MERCEDES,Glc,2019,Diesel,,I Ph1 220 d 170ch Fascination 4M 9GTr E6c,39 990 €
FORD,Puma,2020,Essence,Automatique,1.0 EcoBoost 125ch ST-Line V DCT7,25 990 €
PEUGEOT,2008,2017,Diesel,Manuelle,1.6 BlueHDi 100ch Allure,12 980 €
MINI,Countryman,2018,Diesel,Manuelle,Cooper D 150ch Business,18 490 €
NISSAN,Juke,2020,Essence,Manuelle,1.0 DIG-T 117ch Acenta,19 490 €
HYUNDAI,Kona,2020,Diesel,Automatique,1.6 CRDi 136ch Executive 4WD DCT-7 Euro6d-T EVAP,22 990 €
PEUGEOT,2008,2021,Electrique,Automatique,e-2008 136ch Allure,32 990 €
PEUGEOT,2008,2020,Diesel,Manuelle,1.5 BlueHDi 100ch S&S GT Line,28 499 €
DACIA,Sandero,2019,Diesel,Manuelle,1.5 Blue dCi 75ch Essentiel,11 590 €
NISSAN,Juke,2018,Diesel,Manuelle,1.5 dCi 110ch N-Connecta 2018,12 990 €
RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Limited -21,17 990 €
PEUGEOT,2008,2022,Essence,Automatique,1.2 PureTech 130ch S&S Style EAT8,26 900 €
FIAT,500,2013,Essence,Manuelle,1.2 8v 69ch Lounge,7 490 €
PEUGEOT,2008,2016,Diesel,Manuelle,1.6 BlueHDi 100ch Urban Cross,12 995 €
VOLKSWAGEN,Polo,2022,Essence,Manuelle,1.0 TSI 95ch Life,22 690 €
CITROEN,C5 Aircross,2020,Diesel,Automatique,BlueHDi 130ch S&S Feel EAT8 E6.d,26 990 €
PEUGEOT,208,2022,Essence,Automatique,1.2 PureTech 100ch S&S GT EAT8,26 499 €
BMW,X2,2019,Diesel,Automatique,sDrive18dA 150ch M Sport Euro6d-T 118g,35 900 €
CITROEN,C3,2021,Diesel,Manuelle,1.5 BlueHDi 100ch S&S C-Series E6.d,18 990 €
AUDI,A3 Sportback,2020,Diesel,Automatique,35 TDI 150ch S line S tronic 7,36 980 €
RENAULT,Clio,2020,Diesel,Manuelle,1.5 Blue dCi 85ch Business,16 290 €
RENAULT,Espace,2020,Diesel,Automatique,2.0 Blue dCi 200ch Initiale Paris EDC,40 490 €
HYUNDAI,Kona,2020,Hybride,Automatique,1.6 GDi hybrid 141ch Edition 1 DCT-6 Euro6d-T EVAP,23 990 €
ALPINE,A110,2021,Essence,Automatique,1.8T 292ch Légende GT - 2021,78 990 €
MINI,Countryman,2019,Essence,Manuelle,One 102ch Longstone Euro6d-T,26 990 €
MERCEDES,Citan,2022,Diesel,Manuelle,110 CDI Long First,29 999 €
VOLKSWAGEN,Up!,2021,Essence,Manuelle,1.0 115ch BlueMotion Technology GTI 5p,18 290 €
ABARTH,500,2018,Essence,Automatique,1.4 Turbo T-Jet 165ch 595 Turismo MY17 BVA,20 480 €
CITROEN,C4 Picasso,2015,Diesel,Manuelle,BlueHDi 150ch Exclusive S&S,16 290 €
PEUGEOT,208,2019,Essence,Manuelle,1.2 PureTech 100ch S&S Allure,19 480 €
RENAULT,Kadjar,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Intens 112g,21 490 €
RENAULT,Arkana,2021,EssenceM,Automatique,1.3 TCe 140ch FAP RS Line EDC -21B,31 980 €
CITROEN,C1,2019,Essence,Manuelle,VTi 72 Feel 3p,9 790 €
TOYOTA,Corolla,2019,Hybride,Automatique,122h Dynamic,20 990 €
PEUGEOT,308,2016,Diesel,Manuelle,1.6 BlueHDi 100ch Style S&S 5p,13 490 €
CITROEN,C3 Aircross,2022,Diesel,Automatique,BlueHDi 120ch S&S Shine Pack EAT6,29 290 €
BMW,X1,2016,Essence,Automatique,xDrive20iA 192ch xLine,30 990 €
CITROEN,C3,2019,Essence,Manuelle,PureTech 82ch Feel S&S E6.d,15 380 €
TOYOTA,Auris,2017,Hybride,Automatique,HSD 136h Design Business,18 990 €
FORD,Kuga,2019,Essence,Manuelle,1.5 EcoBoost 150ch Vignale 9cv,31 890 €
PEUGEOT,308 Sw,2022,Essence,Automatique,1.2 PureTech 130ch S&S Allure Pack EAT8,34 250 €
DS,Ds 7 Crossback,2021,Diesel,Automatique,BlueHDi 130ch Rivoli Automatique,39 990 €
CITROEN,C3,2019,Essence,Manuelle,PureTech 82ch ELLE S&S E6.d-TEMP,14 690 €
PEUGEOT,2008,2020,Essence,Manuelle,1.2 PureTech 100ch S&S Allure 5cv,22 980 €
DACIA,Sandero,2019,Essence,Manuelle,1.0 SCe 75ch Confort - 19,12 490 €
PEUGEOT,2008,2017,Diesel,Manuelle,1.6 BlueHDi 120ch GT Line S&S,16 999 €
DS,Ds 7 Crossback,2021,Diesel,Automatique,BlueHDi 180ch Grand Chic Automatique,45 990 €
DACIA,Logan Mcv,2020,Essence,Manuelle,0.9 TCe 90ch Silverline -18,15 780 €
PEUGEOT,308 Sw,2022,Diesel,Automatique,1.5 BlueHDi 130ch S&S GT Pack EAT8,39 490 €
OPEL,Corsa,2022,Essence,Automatique,1.2 Turbo 130ch GS Line BVA,23 680 €
ALFA ROMEO,Stelvio,2018,Diesel,Automatique,2.2 Diesel 150ch Business AT8,28 965 €
PEUGEOT,208,2019,Essence,Manuelle,1.2 PureTech 75ch S&S Active,15 890 €
CITROEN,C3 Aircross,2018,Diesel,Manuelle,BlueHDi 120ch S&S Shine,15 980 €
JAGUAR,I-Pace,2020,Electrique,Automatique,EV400 HSE AWD,67 900 €
RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Business -21,16 990 €
JAGUAR,F-Pace,2019,Diesel,Automatique,2.0D 180ch Prestige AWD BVA8,34 990 €
RENAULT,Megane Estate,2021,HybrideR,Automatique,1.6 E-Tech Plug-in 160ch Business,25 390 €
CITROEN,C3,2017,Essence,Manuelle,PureTech 110ch Shine S&S,13 990 €
PEUGEOT,2008,2019,Diesel,Manuelle,1.5 BlueHDi 100ch E6.c Allure S&S BVM5 86g,21 969 €
OPEL,Corsa,2021,Essence,Manuelle,1.2 75ch Edition,14 690 €
CITROEN,Grand C4 Spacetourer,2022,Diesel,Automatique,BlueHDi 130ch S&S Shine Pack EAT8 E6.d,33 980 €
RENAULT,Clio,2021,Diesel,Manuelle,1.5 Blue dCi 100ch Intens -21N,20 780 €
BMW,X4,2019,Diesel,Automatique,xDrive20d 190ch M Sport Euro6d-T,46 900 €
CITROEN,C3 Aircross,2019,Diesel,Manuelle,BlueHDi 100ch S&S Shine E6.d-TEMP,15 480 €
PEUGEOT,3008,2022,Hybride,Automatique,HYBRID4 300ch GT e-EAT8,48 499 €
AUDI,A5,2015,Diesel,Automatique,2.0 TDI 190ch clean diesel Avus quattro S tronic 7 Euro6,24 999 €
RENAULT,Clio,2019,Diesel,Manuelle,1.5 dCi 75ch energy Air MédiaNav E6C,9 390 €
PEUGEOT,2008,2022,Essence,Manuelle,1.2 PureTech 130ch S&S Style,25 990 €
RENAULT,Captur,2015,Diesel,Manuelle,1.5 dCi 90ch Stop&Start energy Intens eco²,10 990 €
PEUGEOT,208,2016,Essence,Manuelle,1.0 PureTech Like 5p,11 490 €
VOLKSWAGEN,Golf,2021,EssenceM,Automatique,1.5 eTSI OPF 150ch R-Line DSG7,34 990 €
RENAULT,Clio,2022,Hybride,Automatique,1.6 E-Tech hybride 140ch Limited -21N,21 790 €
RENAULT,Clio,2022,Essence,Manuelle,1.0 TCe 90ch Intens -21N,19 790 €
