brand,model,year,energy,gear_box,trim,price
PEUGEOT,208,2019,Diesel,Manuelle,1.5 BlueHDi 100ch E6.c Signature BVM5 5p,14 990 €
RENAULT,Twingo,2019,Essence,Manuelle,0.9 TCe 90ch energy Intens Euro6c,11 590 €
PEUGEOT,308,2018,Diesel,Manuelle,1.5 BlueHDi 130ch S&S Allure Business,18 980 €
RENAULT,Twingo,2019,Essence,Manuelle,0.9 TCe 95ch Zen - 20,11 480 €
RENAULT,Captur,2018,Diesel,Automatique,1.5 dCi 90ch energy Intens EDC,14 990 €
PEUGEOT,2008,2022,Essence,Automatique,1.2 PureTech 130ch S&S GT EAT8,30 460 €
RENAULT,Kadjar,2019,Diesel,Manuelle,1.5 Blue dCi 115ch Intens 112g,19 990 €
PEUGEOT,2008,2021,Diesel,Manuelle,1.5 BlueHDi 110ch S&S GT,28 900 €
PEUGEOT,2008,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S Allure EAT8 125g,28 299 €
NISSAN,Qashqai,2019,Diesel,Manuelle,1.5 dCi 115ch N-Connecta 2019 Euro6-EVAP,19 479 €
PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 100ch S&S Active Business,17 490 €
DACIA,Duster,2019,Essence,Manuelle,1.3 TCe 150ch FAP Prestige 4x2,18 990 €
PEUGEOT,3008,2019,Essence,Automatique,1.6 PureTech 180ch E6.c Allure S&S EAT8,29 480 €
PEUGEOT,2008,2018,Essence,Manuelle,1.2 PureTech 130ch E6.c GT Line S&S,18 990 €
RENAULT,Clio,2020,Essence,Manuelle,1.0 SCe 75ch Zen,14 989 €
RENAULT,Clio,2019,Essence,Manuelle,0.9 TCe 75ch energy Trend 5p Euro6c,12 390 €
CITROEN,C5 Aircross,2019,Diesel,Manuelle,BlueHDi 130ch S&S Feel,27 900 €
DS,Ds 7 Crossback,2020,HybrideR,Automatique,E-TENSE 4x4 300ch Grand Chic,42 480 €
RENAULT,Clio,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Intens 6cv,19 490 €
RENAULT,Kadjar,2019,Diesel,Manuelle,1.5 Blue dCi 115ch Business,18 990 €
RENAULT,Kadjar,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Intens 135g,23 999 €
PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 100ch S&S Allure 118g,20 390 €
RENAULT,Captur,2018,Diesel,Manuelle,1.5 dCi 90ch energy Intens Euro6c,13 990 €
RENAULT,Megane,2019,Essence,Automatique,1.3 TCe 140ch energy Intens EDC,18 490 €
RENAULT,Captur,2020,Diesel,Automatique,1.5 Blue dCi 115ch Intens EDC,23 980 €
RENAULT,Clio,2019,Essence,Manuelle,0.9 TCe 75ch energy Limited 5p Euro6c,14 999 €
PEUGEOT,3008,2021,Hybride,Automatique,HYBRID 225ch Allure Pack e-EAT8,39 490 €
PEUGEOT,208,2022,Diesel,Manuelle,1.5 BlueHDi 100ch S&S GT,24 780 €
CITROEN,C3,2021,Essence,Automatique,1.2 PureTech 110ch S&S Shine EAT6,19 890 €
RENAULT,Megane,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Business -21B,18 480 €
PEUGEOT,208,2019,Essence,Manuelle,1.2 PureTech 82ch E6.c Signature 5p,13 358 €
PEUGEOT,2008,2019,Essence,Manuelle,1.2 PureTech 82ch E6.c Active S&S,14 990 €
DS,Ds 7 Crossback,2021,Diesel,Automatique,BlueHDi 130ch Grand Chic Automatique 139g,38 499 €
RENAULT,Captur,2021,Hybride,Automatique,1.6 E-Tech hybride 145ch Intens -21,25 780 €
RENAULT,Captur,2018,Diesel,Manuelle,1.5 dCi 90ch energy Life eco²,13 990 €
MINI,Mini,2019,Essence,Automatique,Cooper S 192ch Exquisite BVA7 Euro6d-T,29 900 €
VOLKSWAGEN,Polo,2021,Essence,Automatique,1.0 TSI 95ch Lounge DSG7 Euro6d-T,20 890 €
MINI,Mini,2021,Essence,Automatique,Cooper S 192ch Edition Greenwich BVA7 119g,34 490 €
PEUGEOT,3008,2019,Diesel,Manuelle,1.5 BlueHDi 130ch E6.c Allure S&S 111g,25 490 €
PEUGEOT,3008,2022,Hybride,Automatique,HYBRID 225ch Allure Pack e-EAT8,42 999 €
MINI,Mini,2019,Essence,Automatique,Cooper 136ch Heddon Street BVA7 Euro6d-T,22 890 €
CITROEN,C3,2020,Essence,Manuelle,PureTech 82ch Feel Business S&S E6.d,15 199 €
RENAULT,Kadjar,2020,Diesel,Automatique,1.5 Blue dCi 115ch Intens EDC - 21,21 990 €
PEUGEOT,208,2020,Essence,Manuelle,1.2 PureTech 75ch S&S Active Business 118g,17 499 €
PEUGEOT,3008,2018,Essence,Automatique,1.6 THP 165ch GT Line S&S EAT6,24 990 €
PEUGEOT,3008,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S GT EAT8,32 790 €
RENAULT,Clio,2019,Diesel,Manuelle,1.5 dCi 90ch energy Intens 5p Euro6c,15 980 €
PEUGEOT,208,2021,Essence,Automatique,1.2 PureTech 100ch S&S Roadtrip EAT8,22 980 €
RENAULT,Twingo,2020,Essence,Manuelle,0.9 TCe 95ch Zen - 20,12 989 €
RENAULT,Megane,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Business -21B,20 390 €
PEUGEOT,2008,2019,Diesel,Manuelle,1.5 BlueHDi 100ch E6.c Crossway S&S BVM5 86g,17 990 €
RENAULT,Captur,2019,Essence,Manuelle,1.3 TCe 130ch FAP Intens,17 999 €
RENAULT,Clio,2021,Hybride,Automatique,1.6 E-Tech 140ch Zen -21,18 990 €
CITROEN,C3,2019,Diesel,Manuelle,BlueHDi 100ch Feel Business S&S E6.d-TEMP BVM5,13 990 €
RENAULT,Captur,2019,Essence,Manuelle,0.9 TCe 90ch Zen - 19,16 490 €
PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 100ch S&S Active Business,17 490 €
PEUGEOT,3008,2021,Essence,Manuelle,1.2 PureTech 130ch S&S GT,35 880 €
NISSAN,Qashqai,2020,Diesel,Manuelle,1.5 dCi 115ch Business+ 2019,18 989 €
PEUGEOT,3008,2017,Diesel,Manuelle,1.6 BlueHDi 120ch Allure S&S,20 572 €
PEUGEOT,3008,2020,HybrideR,Automatique,HYBRID4 300ch GT e-EAT8 11cv,37 490 €
DACIA,Duster,2020,Gpl,Manuelle,1.0 ECO-G 100ch Prestige 4x2 - E6U,20 480 €
